,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
6043,Aplicando seguridad en apps con Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6044,Gestion des utilisateurs et des groupes sous Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6045,Creando un chatbot con Amazon Lex,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6046,Generando predicciones con Amazon Forecast,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6047,Configurer Istio dans un cluster Kubernetes avec Rancher,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Advanced
6048,Créer un site web Wordpress avec Amazon Lightsail,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6049,Linux تكنولوجيا المعلومات مع,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6050,Implementando balanceadores de carga con AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.9,Beginner
6051,Traduciendo texto con Amazon Translate,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Beginner
6052,Build and Utilize Forms in LibreOffice Base,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6053,Performing Real Time Analytics with Stream Analytics,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6054,Static Routing Configuration Using Packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6055,Bases de Datos NoSQL en Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6056,Creación de un Chatbot con Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6057,Introducción a computación serverless con Azure Functions,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6058,Using Query Store in Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6059,Hospedando Website Estático (HTML/CSS/Javascript) no AWS S3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6060,Aggregate Data with LibreOffice Base Queries,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6061,Diseñando modelos de ML con Amazon Sagemaker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6062,Intelligent Query Processing in Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6063,Detectando fraudes con Amazon Fraud Detector,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6064,Trabajando con Azure Synapse Analytics,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6065,Análisis serverless de data en Amazon S3 usando Athena,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6066,Créer et gérer des clusters Kubernetes avec Rancher,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6067,Sécurisation du serveur web Nginx sous linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6068,Implementar um AWS EKS Cluster e uma Web App usando EKSCTL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6069,Implementar uma Aplicação Web no Azure Kubernetes Service,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6070,Diseñando bots con Azure Health Bot,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6071,Implementar Aplicação Web no AWS Elastic Kubernetes Service,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6072,Descubriendo anomalías con Azure Anomaly Detector,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6073,Hospedar site Wordpress Completo no Microsoft Azure Cloud,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6074,Creando servidores con Amazon Lightsail,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6075,Initiation à Amazon AWS S3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6076,Créer un ingress controller dans Kubernetes avec Traefik,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6077,Créer un Reverse Proxy pour conteneurs Docker avec Traefik,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6078,Integra Facebook Messenger para Negocios a un Sitio Web,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6079,Azure Devops: Introduction to CI/CD with Visual Studio,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6080,Configurer un Loadbalancer avec HAProxy dans Docker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6081,Crea un calendario de contenidos para Twitter,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6082,Installer et configurer le registre Harbor sous Ubuntu,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6083,bash shell و أساسيات ال scripting فى Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6084,Google IT Support,Google,Professional Certificate,1.1m,Information Technology,it_and_computer_science,3+ Months,4.8,Beginner
6085,IBM Data Engineering,IBM,Professional Certificate,450k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6086,Data Engineering Foundations,IBM,Specialization,450k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6087,Google IT Automation with Python,Google,Professional Certificate,510k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6088,IBM Full Stack Cloud Developer,IBM,Professional Certificate,420k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6089,IBM Cybersecurity Analyst,IBM,Professional Certificate,220k,Information Technology,it_and_computer_science,3+ Months,4.5,Beginner
6090,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,Professional Certificate,590k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6091,IT Fundamentals for Cybersecurity,IBM,Specialization,210k,Information Technology,it_and_computer_science,3+ Months,4.5,Beginner
6092,Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,Professional Certificate,590k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6093,Architecting with Google Compute Engine,Google Cloud,Specialization,580k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6094,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,Professional Certificate,340k,Information Technology,it_and_computer_science,3+ Months,4.6,Intermediate
6095,Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,Professional Certificate,630k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6096,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,Professional Certificate,560k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6097,Architecting with Google Kubernetes Engine,Google Cloud,Specialization,560k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6098,Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,Professional Certificate,560k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6099,Networking in Google Cloud,Google Cloud,Specialization,560k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6100,Security in Google Cloud,Google Cloud,Specialization,560k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6101,Google Cloud Digital Leader Training,Google Cloud,Professional Certificate,31k,Information Technology,it_and_computer_science,3+ Months,4.8,Beginner
6102,"BI Foundations with SQL, ETL and Data Warehousing",IBM,Specialization,220k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6103,Cloud Application Development Foundations,IBM,Specialization,62k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6104,AWS Fundamentals,Amazon Web Services,Specialization,150k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6105,Security Analyst Fundamentals,IBM,Specialization,30k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6106,Getting started with Google Workspace,Google Cloud,Specialization,12k,Information Technology,it_and_computer_science,3+ Months,4.8,Beginner
6107,Organizational Change and Culture for Adopting Google Cloud,Google Cloud,Specialization,59k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6108,"NoSQL, Big Data, and Spark Foundations",IBM,Specialization,6.2k,Information Technology,it_and_computer_science,3+ Months,4.2,Beginner
6109,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,Specialization,12k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6110,Digital Transformation Using AI/ML with Google Cloud,Google Cloud,Specialization,150k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
6111,From Data to Insights with Google Cloud,Google Cloud,Specialization,56k,Information Technology,it_and_computer_science,3+ Months,4.6,Beginner
6112,Creating Business Value with Data and Looker,Google Cloud,Specialization,13k,Information Technology,it_and_computer_science,3+ Months,4.8,Intermediate
6113,Soporte de Tecnologías de la Información de Google,Crece con Google,Professional Certificate,71k,Information Technology,it_and_computer_science,3+ Months,4.9,Beginner
6114,Information Systems,University of Minnesota,Specialization,48k,Information Technology,it_and_computer_science,3+ Months,4.8,Beginner
6115,Building Cloud Computing Solutions at Scale,Duke University,Specialization,6.1k,Information Technology,it_and_computer_science,3+ Months,4.4,Intermediate
6116,Architecting Hybrid Cloud Infrastructure with Anthos,Google Cloud,Specialization,8.8k,Information Technology,it_and_computer_science,3+ Months,4.7,Intermediate
6117,Serverless Data Processing with Dataflow,Google Cloud,Specialization,3.1k,Information Technology,it_and_computer_science,3+ Months,4,Intermediate
6118,Linux and Private Cloud Administration on IBM Power Systems,Red Hat,Specialization,13k,Information Technology,it_and_computer_science,3+ Months,4.8,Intermediate
6119,Managing Cybersecurity,University System of Georgia,Specialization,17k,Information Technology,it_and_computer_science,3+ Months,4.7,Beginner
